Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 2 - 	 Ger: 1 - 	 Best:    0.02051 - 	 Mean: 12194.50390 - 	 AQreal:   42.44832  	 
Exp: 2 - 	 Ger: 2 - 	 Best:    0.02051 - 	 Mean:  264.99659 - 	 AQreal:   42.44832  	 
Exp: 2 - 	 Ger: 3 - 	 Best:    0.02051 - 	 Mean:   47.92124 - 	 AQreal:   42.44832  	 
Exp: 2 - 	 Ger: 4 - 	 Best:    0.02051 - 	 Mean:   24.35673 - 	 AQreal:   42.44832  	 
Exp: 2 - 	 Ger: 5 - 	 Best:    0.02051 - 	 Mean:   14.06005 - 	 AQreal:   39.04618  	 
Exp: 2 - 	 Ger: 6 - 	 Best:    0.02051 - 	 Mean:   11.04560 - 	 AQreal:   39.04618  	 
Exp: 2 - 	 Ger: 7 - 	 Best:    0.02051 - 	 Mean:   10.28280 - 	 AQreal:   39.04618  	 
Exp: 2 - 	 Ger: 8 - 	 Best:    0.02051 - 	 Mean:    7.49029 - 	 AQreal:   39.04618  	 
Exp: 2 - 	 Ger: 9 - 	 Best:    0.02051 - 	 Mean:    5.79347 - 	 AQreal:   39.04618  	 
Exp: 2 - 	 Ger: 10 - 	 Best:    0.02051 - 	 Mean:    4.05333 - 	 AQreal:   36.88241  	 
Exp: 2 - 	 Ger: 11 - 	 Best:    0.02051 - 	 Mean:    3.01997 - 	 AQreal:   36.88241  	 
Exp: 2 - 	 Ger: 12 - 	 Best:    0.02003 - 	 Mean:    1.67952 - 	 AQreal:   36.88241  	 
Exp: 2 - 	 Ger: 13 - 	 Best:    0.02003 - 	 Mean:    0.62661 - 	 AQreal:   36.88241  	 
Exp: 2 - 	 Ger: 14 - 	 Best:    0.02003 - 	 Mean:    0.31360 - 	 AQreal:   36.88241  	 
Exp: 2 - 	 Ger: 15 - 	 Best:    0.02003 - 	 Mean:    0.04736 - 	 AQreal:   37.32753  	 
Exp: 2 - 	 Ger: 16 - 	 Best:    0.02003 - 	 Mean:    0.03891 - 	 AQreal:   37.32753  	 
Exp: 2 - 	 Ger: 17 - 	 Best:    0.02003 - 	 Mean:    0.03176 - 	 AQreal:   37.32753  	 
Exp: 2 - 	 Ger: 18 - 	 Best:    0.02003 - 	 Mean:    0.03045 - 	 AQreal:   37.32753  	 
Exp: 2 - 	 Ger: 19 - 	 Best:    0.02003 - 	 Mean:    0.02798 - 	 AQreal:   37.32753  	 
Exp: 2 - 	 Ger: 20 - 	 Best:    0.02003 - 	 Mean:    0.02719 - 	 AQreal:   24.11684  	 
Exp: 2 - 	 Ger: 21 - 	 Best:    0.02003 - 	 Mean:    0.02612 - 	 AQreal:   24.11684  	 
