%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206154, 2017/12/4 12:1:15.54)
1 75 2.985040e-01 1.004161e+00  1.360111010667621200e-01  1.360111010667621200e-01  1.739973306397147900e-01  2.485290093771903000e-01
2 150 2.970858e-01 1.005029e+00  1.360111010667621200e-01  1.436710633566124800e-01  1.745039956342388200e-01  3.920530155727566200e-01
3 225 2.957293e-01 1.005840e+00  1.333342695589715100e-01  1.333342695589715100e-01  1.689773427575947700e-01  3.494088475783628200e-01
4 300 2.944193e-01 1.006817e+00  1.333342695589715100e-01  1.386155769200150300e-01  1.734515201155963400e-01  3.936440299516589800e-01
5 375 2.931521e-01 1.007387e+00  1.333342695589715100e-01  1.427911668670409400e-01  1.724386737747702100e-01  2.539729653775619800e-01
6 450 2.919265e-01 1.007885e+00  1.333342695589715100e-01  1.417219053129328300e-01  1.740928228948427400e-01  3.031800798278204100e-01
7 525 2.907360e-01 1.008546e+00  1.333342695589715100e-01  1.363669508979883400e-01  1.740578115670022600e-01  3.031063061635307400e-01
8 600 2.895805e-01 1.010021e+00  1.333342695589715100e-01  1.448168350829894000e-01  1.715569892127576100e-01  2.617125667817444300e-01
9 675 2.884569e-01 1.010515e+00  1.301542693366141400e-01  1.301542693366141400e-01  1.686684357709524500e-01  2.710987637028168300e-01
10 750 2.873669e-01 1.011629e+00  1.301542693366141400e-01  1.400035679381382800e-01  1.701696079413304600e-01  4.544564273298208300e-01
11 825 2.863023e-01 1.011510e+00  1.301542693366141400e-01  1.390304970917164200e-01  1.720797580328884100e-01  3.442707678754499100e-01
12 900 2.852629e-01 1.011651e+00  1.301542693366141400e-01  1.402956203990345900e-01  1.681559311334821500e-01  4.044163808103955500e-01
13 975 2.842469e-01 1.011702e+00  1.301542693366141400e-01  1.378926304569109700e-01  1.705716555302193300e-01  6.278191130628709700e-01
14 1050 2.832569e-01 1.013166e+00  1.301542693366141400e-01  1.366742735437453900e-01  1.713141409371740600e-01  3.098193966908616100e-01
15 1125 2.822926e-01 1.013536e+00  1.301542693366141400e-01  1.367313696331294000e-01  1.672871393607703900e-01  3.038558685141526400e-01
16 1200 2.813553e-01 1.014349e+00  1.301542693366141400e-01  1.383091304523404200e-01  1.664106941283261300e-01  3.541488103813630300e-01
17 1275 2.804363e-01 1.014268e+00  1.301542693366141400e-01  1.360476882175500100e-01  1.698466786111302000e-01  3.486426651102107500e-01
18 1350 2.795362e-01 1.015076e+00  1.301542693366141400e-01  1.412997261879010700e-01  1.728605647227495200e-01  4.718217198683752300e-01
19 1425 2.786583e-01 1.014958e+00  1.301542693366141400e-01  1.362561627526228100e-01  1.670548029620956300e-01  3.441130029900774700e-01
20 1500 2.777987e-01 1.016387e+00  1.301542693366141400e-01  1.362038897934554900e-01  1.644424497736683400e-01  3.046185175100697400e-01
21 1575 2.769553e-01 1.016926e+00  1.301542693366141400e-01  1.364504292518802000e-01  1.706567014310946500e-01  3.430619130920594700e-01
22 1650 2.761247e-01 1.018342e+00  1.223184059158338900e-01  1.223184059158338900e-01  1.631664112583297000e-01  2.514233538261374000e-01
23 1725 2.753096e-01 1.019180e+00  1.223184059158338900e-01  1.317756243475208800e-01  1.687654508456567500e-01  2.588180597705446200e-01
24 1800 2.745090e-01 1.019141e+00  1.223184059158338900e-01  1.370359860720382100e-01  1.681948013401937700e-01  2.829302681677302000e-01
25 1875 2.737227e-01 1.017825e+00  1.223184059158338900e-01  1.361268334709671000e-01  1.624700873542771800e-01  2.760239570917229500e-01
26 1950 2.729531e-01 1.018575e+00  1.223184059158338900e-01  1.358208628028061700e-01  1.612936219016937700e-01  3.134190190069665000e-01
27 2025 2.721957e-01 1.019099e+00  1.223184059158338900e-01  1.322088555539276100e-01  1.664143758842088500e-01  3.704760307424517200e-01
28 2100 2.714530e-01 1.018669e+00  1.223184059158338900e-01  1.335813520047091600e-01  1.594146178874599800e-01  2.524791140744862500e-01
29 2175 2.707251e-01 1.019203e+00  1.223184059158338900e-01  1.375990830782345100e-01  1.634867480726157300e-01  3.419092947257569800e-01
30 2250 2.700105e-01 1.019600e+00  1.223184059158338900e-01  1.344161808162400200e-01  1.662755054769191900e-01  3.240201269760317200e-01
