%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210199, 2017/12/7 16:12:38.00)
1 30 2.992653e-01 1.002788e+00  1.274970414959911700e-01  1.274970414959911700e-01  1.693556134983328600e-01  2.546290505032468600e-01
2 60 2.985556e-01 1.003214e+00  1.274970414959911700e-01  1.296287599910736800e-01  1.713362509867587500e-01  2.665679729058549900e-01
3 90 2.978649e-01 1.003403e+00  1.274970414959911700e-01  1.284112043607554300e-01  1.613692606421630000e-01  5.047538156883779600e-01
4 120 2.971918e-01 1.004230e+00  1.227025730298994500e-01  1.227025730298994500e-01  1.570820428358300500e-01  2.245993491896167100e-01
5 150 2.965328e-01 1.004581e+00  1.227025730298994500e-01  1.323267300829937800e-01  1.616998674242815800e-01  3.336941548091977300e-01
6 180 2.958872e-01 1.005278e+00  1.224192583536483400e-01  1.224192583536483400e-01  1.598248472988604600e-01  3.381301266364905600e-01
7 210 2.952551e-01 1.005662e+00  1.224192583536483400e-01  1.250869167441436000e-01  1.509132263839323700e-01  2.053826508226451700e-01
8 240 2.946331e-01 1.005757e+00  1.197116127779751200e-01  1.197116127779751200e-01  1.538774478305689500e-01  1.815177046533827900e+02
9 270 2.940213e-01 1.005881e+00  1.197116127779751200e-01  1.320560703497136700e-01  1.718312076195418500e-01  3.561298450716488000e-01
10 300 2.934183e-01 1.006317e+00  1.197116127779751200e-01  1.247768495024549600e-01  1.567014492675746200e-01  2.639249904012813700e-01
11 330 2.928244e-01 1.007014e+00  1.191046540250554100e-01  1.191046540250554100e-01  1.543322297342133400e-01  2.867943986027404700e-01
12 360 2.922391e-01 1.007336e+00  1.191046540250554100e-01  1.288697750489006500e-01  1.701212033292217900e-01  7.942371993114743000e-01
13 390 2.916611e-01 1.007788e+00  1.147509622694326300e-01  1.147509622694326300e-01  1.571201451252667300e-01  2.375500965926308900e+02
14 420 2.910911e-01 1.007755e+00  1.147509622694326300e-01  1.268669095434117600e-01  1.633748545440491500e-01  9.047262923894666600e+01
15 450 2.905290e-01 1.007465e+00  1.147509622694326300e-01  1.299799451917759700e-01  1.656888347149611300e-01  2.082779825902790200e-01
16 480 2.899749e-01 1.007403e+00  1.147509622694326300e-01  1.266847257632081900e-01  1.614979161860464800e-01  2.630415381724567900e-01
17 510 2.894297e-01 1.008248e+00  1.147509622694326300e-01  1.152922094632184400e-01  1.518841011804644100e-01  1.821555150347365400e-01
18 540 2.888912e-01 1.008198e+00  1.147509622694326300e-01  1.329636845534910600e-01  1.652776146030934300e-01  2.940840579351237700e-01
19 570 2.883609e-01 1.008702e+00  1.147509622694326300e-01  1.319733660656871600e-01  1.559145044326040200e-01  2.558529365812046700e-01
20 600 2.878374e-01 1.008853e+00  1.147509622694326300e-01  1.407303649901116600e-01  1.588498160821333600e-01  3.258232482329200800e-01
21 630 2.873197e-01 1.009284e+00  1.147509622694326300e-01  1.379948796597250100e-01  1.649421179588699800e-01  2.619402439681095500e-01
22 660 2.868088e-01 1.009558e+00  1.147509622694326300e-01  1.350052171280322100e-01  1.612935688496125200e-01  3.985201255589436700e-01
23 690 2.863031e-01 1.009768e+00  1.147509622694326300e-01  1.288374608966227400e-01  1.627491622880908900e-01  2.179037865283297600e-01
