Exp: 1 - 	 Ger: 1 - 	 Best:    0.13992 - 	 Mean:    0.15388 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.13992 - 	 Mean:    0.14739 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.13979 - 	 Mean:    0.14537 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.13979 - 	 Mean:    0.14487 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.13946 - 	 Mean:    0.14397 - 	 AQreal:    0.70287  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.13946 - 	 Mean:    0.14342 - 	 AQreal:    0.70287  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.13946 - 	 Mean:    0.14262 - 	 AQreal:    0.70287  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.13801 - 	 Mean:    0.14191 - 	 AQreal:    0.70287  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.13801 - 	 Mean:    0.14137 - 	 AQreal:    0.70287  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.13801 - 	 Mean:    0.14097 - 	 AQreal:    0.41984  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.13801 - 	 Mean:    0.14056 - 	 AQreal:    0.41984  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.13801 - 	 Mean:    0.14049 - 	 AQreal:    0.41984  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.13532 - 	 Mean:    0.14007 - 	 AQreal:    0.41984  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.13532 - 	 Mean:    0.13989 - 	 AQreal:    0.41984  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.13532 - 	 Mean:    0.13947 - 	 AQreal:    0.33006  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.13532 - 	 Mean:    0.13914 - 	 AQreal:    0.33006  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.13532 - 	 Mean:    0.13865 - 	 AQreal:    0.33006  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.13532 - 	 Mean:    0.13827 - 	 AQreal:    0.33006  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.13325 - 	 Mean:    0.13779 - 	 AQreal:    0.33006  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.13325 - 	 Mean:    0.13746 - 	 AQreal:    0.30338  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.13325 - 	 Mean:    0.13721 - 	 AQreal:    0.30338  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.13325 - 	 Mean:    0.13674 - 	 AQreal:    0.30338  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.13277 - 	 Mean:    0.13634 - 	 AQreal:    0.30338  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.13277 - 	 Mean:    0.13600 - 	 AQreal:    0.30338  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.13277 - 	 Mean:    0.13552 - 	 AQreal:    0.24342  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.13277 - 	 Mean:    0.13510 - 	 AQreal:    0.24342  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.13277 - 	 Mean:    0.13465 - 	 AQreal:    0.24342  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.13233 - 	 Mean:    0.13400 - 	 AQreal:    0.24342  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.13233 - 	 Mean:    0.13389 - 	 AQreal:    0.24342  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.13233 - 	 Mean:    0.13371 - 	 AQreal:    0.17329  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.13233 - 	 Mean:    0.13339 - 	 AQreal:    0.17329  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.13233 - 	 Mean:    0.13335 - 	 AQreal:    0.17329  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.13233 - 	 Mean:    0.13323 - 	 AQreal:    0.17329  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.13233 - 	 Mean:    0.13306 - 	 AQreal:    0.17329  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.13144 - 	 Mean:    0.13281 - 	 AQreal:    0.12897  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.13092 - 	 Mean:    0.13252 - 	 AQreal:    0.12897  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.13092 - 	 Mean:    0.13237 - 	 AQreal:    0.12897  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.13092 - 	 Mean:    0.13228 - 	 AQreal:    0.12897  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.13092 - 	 Mean:    0.13218 - 	 AQreal:    0.12897  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.13092 - 	 Mean:    0.13196 - 	 AQreal:    0.11474  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.13092 - 	 Mean:    0.13190 - 	 AQreal:    0.11474  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.13092 - 	 Mean:    0.13175 - 	 AQreal:    0.11474  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.13023 - 	 Mean:    0.13162 - 	 AQreal:    0.11474  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.13023 - 	 Mean:    0.13140 - 	 AQreal:    0.11474  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.13023 - 	 Mean:    0.13123 - 	 AQreal:    0.07711  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.13023 - 	 Mean:    0.13116 - 	 AQreal:    0.07711  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.13023 - 	 Mean:    0.13112 - 	 AQreal:    0.07711  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.13004 - 	 Mean:    0.13098 - 	 AQreal:    0.07711  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.12949 - 	 Mean:    0.13079 - 	 AQreal:    0.07711  	 
