Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 51 - 	 Best:    0.11356 - 	 Mean:    0.11644 - 	 AQreal:    6.62503  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    0.11224 - 	 Mean:    0.11632 - 	 AQreal:    6.62503  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.11224 - 	 Mean:    0.11615 - 	 AQreal:    6.62503  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.11224 - 	 Mean:    0.11608 - 	 AQreal:    6.62503  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.11224 - 	 Mean:    0.11603 - 	 AQreal:    6.44418  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.11224 - 	 Mean:    0.11597 - 	 AQreal:    6.44418  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.11224 - 	 Mean:    0.11591 - 	 AQreal:    6.44418  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.11224 - 	 Mean:    0.11589 - 	 AQreal:    6.44418  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.11224 - 	 Mean:    0.11583 - 	 AQreal:    6.44418  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.11224 - 	 Mean:    0.11571 - 	 AQreal:    5.28033  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.11224 - 	 Mean:    0.11548 - 	 AQreal:    5.28033  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.11224 - 	 Mean:    0.11536 - 	 AQreal:    5.28033  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.11224 - 	 Mean:    0.11536 - 	 AQreal:    5.28033  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.11224 - 	 Mean:    0.11529 - 	 AQreal:    5.28033  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.11224 - 	 Mean:    0.11527 - 	 AQreal:    4.19523  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.11224 - 	 Mean:    0.11525 - 	 AQreal:    4.19523  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.11224 - 	 Mean:    0.11523 - 	 AQreal:    4.19523  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.11224 - 	 Mean:    0.11522 - 	 AQreal:    4.19523  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.11224 - 	 Mean:    0.11522 - 	 AQreal:    4.19523  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.11224 - 	 Mean:    0.11498 - 	 AQreal:    3.69240  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.11224 - 	 Mean:    0.11498 - 	 AQreal:    3.69240  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.11224 - 	 Mean:    0.11491 - 	 AQreal:    3.69240  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.11224 - 	 Mean:    0.11487 - 	 AQreal:    3.69240  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.11224 - 	 Mean:    0.11478 - 	 AQreal:    3.69240  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.11224 - 	 Mean:    0.11478 - 	 AQreal:    3.17531  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.11224 - 	 Mean:    0.11475 - 	 AQreal:    3.17531  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.11224 - 	 Mean:    0.11457 - 	 AQreal:    3.17531  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.11224 - 	 Mean:    0.11453 - 	 AQreal:    3.17531  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.11224 - 	 Mean:    0.11450 - 	 AQreal:    3.17531  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.11224 - 	 Mean:    0.11449 - 	 AQreal:    3.26019  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.11224 - 	 Mean:    0.11449 - 	 AQreal:    3.26019  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.11224 - 	 Mean:    0.11449 - 	 AQreal:    3.26019  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.11224 - 	 Mean:    0.11436 - 	 AQreal:    3.26019  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.11224 - 	 Mean:    0.11425 - 	 AQreal:    3.26019  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.11224 - 	 Mean:    0.11417 - 	 AQreal:    2.80690  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.11224 - 	 Mean:    0.11415 - 	 AQreal:    2.80690  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.11224 - 	 Mean:    0.11415 - 	 AQreal:    2.80690  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.11224 - 	 Mean:    0.11408 - 	 AQreal:    2.80690  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.11224 - 	 Mean:    0.11408 - 	 AQreal:    2.80690  	 
