%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211785, 2017/09/15 12:41:23.86)
1 50 5.997380e-01 1.000416e+00  1.515774751325746000e+00  1.515774751325746000e+00  1.900829181781082100e+00  3.073984382270917400e+00
2 100 5.994797e-01 1.000583e+00  1.451301560561337300e+00  1.451301560561337300e+00  1.820641288321271500e+00  2.716177695627172400e+00
3 150 5.992239e-01 1.000720e+00  1.443855633748960800e+00  1.443855633748960800e+00  1.782852759252774100e+00  2.796316504417393700e+00
4 200 5.989704e-01 1.000761e+00  1.443855633748960800e+00  1.529960704085117500e+00  1.786195467086018500e+00  2.334163927618874800e+00
5 250 5.987190e-01 1.000820e+00  1.431748446464780900e+00  1.431748446464780900e+00  1.759726767614624900e+00  2.567599876150352700e+00
6 300 5.984693e-01 1.000938e+00  1.431748446464780900e+00  1.494224809822298300e+00  1.752763565596991800e+00  2.323095253037631600e+00
7 350 5.982212e-01 1.000976e+00  1.431748446464780900e+00  1.440520575306734700e+00  1.807615787939437000e+00  2.199354768123880100e+00
8 400 5.979747e-01 1.001086e+00  1.350606281046820700e+00  1.350606281046820700e+00  1.691408663064949400e+00  3.204196753664864800e+00
9 450 5.977297e-01 1.001114e+00  1.350606281046820700e+00  1.429630762249610100e+00  1.710293306033771300e+00  2.140596056952313000e+00
10 500 5.974862e-01 1.001211e+00  1.350606281046820700e+00  1.416241653908274500e+00  1.700157778856864700e+00  2.164740731152693600e+00
11 550 5.972440e-01 1.001194e+00  1.350606281046820700e+00  1.420123886643098500e+00  1.696602070934358300e+00  2.257479346588815400e+00
12 600 5.970031e-01 1.001265e+00  1.350606281046820700e+00  1.357937269521030300e+00  1.660292334450892900e+00  1.929489892574004300e+00
13 650 5.967634e-01 1.001270e+00  1.350606281046820700e+00  1.385500946722729500e+00  1.655301461331042600e+00  2.296151622976174300e+00
14 700 5.965249e-01 1.001274e+00  1.350606281046820700e+00  1.369903558515613200e+00  1.657685990848129600e+00  2.566761938793268100e+00
15 750 5.962874e-01 1.001321e+00  1.350606281046820700e+00  1.431719308471569400e+00  1.596408451534867500e+00  2.316961080463370200e+00
16 800 5.960511e-01 1.001418e+00  1.320480419417439300e+00  1.320480419417439300e+00  1.625955558997136000e+00  2.297921950365698700e+00
17 850 5.958159e-01 1.001424e+00  1.251075915172373400e+00  1.251075915172373400e+00  1.585159802999196900e+00  2.264029759262536700e+00
18 900 5.955818e-01 1.001438e+00  1.251075915172373400e+00  1.304262872479313700e+00  1.653236451344273900e+00  1.992244501282586700e+00
19 950 5.953487e-01 1.001502e+00  1.251075915172373400e+00  1.324383913644632300e+00  1.606941549736780300e+00  2.134276988252991700e+00
20 1000 5.951167e-01 1.001462e+00  1.251075915172373400e+00  1.343186255223445700e+00  1.568128409695137600e+00  2.630259066036808100e+00
21 1050 5.948856e-01 1.001584e+00  1.251075915172373400e+00  1.338613095919471500e+00  1.525738920548425500e+00  1.966996437406564700e+00
22 1100 5.946554e-01 1.001662e+00  1.251075915172373400e+00  1.256482822781213300e+00  1.529837877730739800e+00  2.003682095240023400e+00
23 1150 5.944262e-01 1.001747e+00  1.251075915172373400e+00  1.309183377351083300e+00  1.524062339641342600e+00  1.968564878184689200e+00
24 1200 5.941978e-01 1.001763e+00  1.251075915172373400e+00  1.299546592812247200e+00  1.537732808517780400e+00  2.182837906972100200e+00
25 1250 5.939704e-01 1.001774e+00  1.251075915172373400e+00  1.306439496745011000e+00  1.520449883465220300e+00  1.820329465674779300e+00
26 1300 5.937438e-01 1.001888e+00  1.251075915172373400e+00  1.289080893945012500e+00  1.543963271942860200e+00  2.304448915797424400e+00
27 1350 5.935180e-01 1.001869e+00  1.251075915172373400e+00  1.278259507563486600e+00  1.463606694670483800e+00  2.095655580392835800e+00
28 1400 5.932932e-01 1.001973e+00  1.251075915172373400e+00  1.337540714948178400e+00  1.497015717952925300e+00  1.991870802645784100e+00
29 1450 5.930692e-01 1.001927e+00  1.251075915172373400e+00  1.256978943326693600e+00  1.501981459841740300e+00  2.127469148309811200e+00
30 1500 5.928459e-01 1.001951e+00  1.251075915172373400e+00  1.292959109664957500e+00  1.510817899341922100e+00  1.926383926471642700e+00
31 1550 5.926235e-01 1.001979e+00  1.251075915172373400e+00  1.266903665845824600e+00  1.481831758134989600e+00  1.953752625874833900e+00
32 1600 5.924019e-01 1.001868e+00  1.251075915172373400e+00  1.279975017872578200e+00  1.476685107081550100e+00  1.994085057870484500e+00
33 1650 5.921811e-01 1.001874e+00  1.215656278970528300e+00  1.215656278970528300e+00  1.463276118058355100e+00  2.143567379586321000e+00
34 1700 5.919610e-01 1.002149e+00  1.215656278970528300e+00  1.298918245791182500e+00  1.498447879448451500e+00  2.139743924607945000e+00
35 1750 5.917416e-01 1.002158e+00  1.215656278970528300e+00  1.286889681502639200e+00  1.461420628044396400e+00  2.595049702720237100e+00
36 1800 5.915230e-01 1.002233e+00  1.215656278970528300e+00  1.278098153871131300e+00  1.509718732524174100e+00  1.937620511031034900e+00
37 1850 5.913050e-01 1.002132e+00  1.215656278970528300e+00  1.255414263083864300e+00  1.438958257223019300e+00  1.894853920487398200e+00
38 1900 5.910876e-01 1.002212e+00  1.215656278970528300e+00  1.257724481186950100e+00  1.454910162305951300e+00  1.979256316867882900e+00
