%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211437, 2017/07/25 18:2:45.39)
1 20 2.578832e+02 1.059743e+03  2.828539325248688100e+00  2.828539325248688100e+00  6.897413441296960100e+00  8.367825723171873200e+01
2 40 3.052116e+02 1.111121e+03  2.828539325248688100e+00  3.149363853161062800e+00  6.302062246035843500e+00  6.360912229086477500e+02
3 60 3.143958e+02 1.178153e+03  2.723867485098706800e+00  2.723867485098706800e+00  2.309324632737372700e+01  2.312601925249043700e+02
4 80 3.078765e+02 1.218927e+03  2.068541508658107800e+00  2.068541508658107800e+00  7.189391224959102500e+00  1.027554723857044200e+04
5 100 2.732097e+02 1.242123e+03  2.068541508658107800e+00  2.694685091133535200e+00  5.662273968398656300e+00  3.353214106678552500e+03
6 120 2.412438e+02 1.286975e+03  2.068541508658107800e+00  2.489152764299018500e+00  5.589939187438368200e+00  1.927876152351233300e+03
7 140 1.941686e+02 1.291578e+03  1.956165984969987300e+00  1.956165984969987300e+00  4.069388211646292500e+00  1.970600536157295600e+01
8 160 1.915103e+02 1.243767e+03  1.956165984969987300e+00  2.178365889517199300e+00  4.068160038162938400e+00  7.364588779235567700e+02
9 180 1.789373e+02 1.223809e+03  1.956165984969987300e+00  2.403729186938070600e+00  3.404963080021344600e+00  5.846717928540900100e+00
10 200 1.663315e+02 1.185492e+03  1.949338019385262300e+00  1.949338019385262300e+00  3.114035557171694400e+00  1.356720944550385500e+02
11 220 2.094400e+02 1.502249e+03  1.949338019385262300e+00  2.486654198337901800e+00  3.156417921202598900e+00  7.931958188115450200e+00
12 240 2.272336e+02 1.618077e+03  1.949338019385262300e+00  2.349743250519415600e+00  2.688719663146002400e+00  1.847937410424205200e+03
13 260 2.350233e+02 1.598075e+03  1.949338019385262300e+00  1.952392926092771000e+00  3.119456061662500400e+00  7.310414305665073000e+02
14 280 2.230511e+02 1.684610e+03  1.813150540464121700e+00  1.813150540464121700e+00  2.879050718328153700e+00  1.136560925478149600e+03
15 300 2.006539e+02 1.740420e+03  1.813150540464121700e+00  2.149727935857617100e+00  3.081908045275866900e+00  4.587359881076192600e+01
16 320 1.863162e+02 1.744138e+03  1.693790361878031700e+00  1.693790361878031700e+00  2.819906438259718300e+00  4.858265254225308600e+00
17 340 1.846740e+02 1.682390e+03  1.693790361878031700e+00  2.058460883882158300e+00  2.885181357058959500e+00  3.706257614152149900e+00
18 360 1.923558e+02 1.723511e+03  1.693790361878031700e+00  1.778745715590481800e+00  2.600639515127198800e+00  2.010610037248194400e+01
19 380 2.148225e+02 1.716193e+03  1.693790361878031700e+00  1.788406280253599800e+00  2.621450740063318500e+00  4.327548940147161100e+02
20 400 2.387580e+02 1.799560e+03  1.645767059365889300e+00  1.645767059365889300e+00  2.564001222525990300e+00  4.156285678437322400e+02
